Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PortalUI_Navigation,Chrome 70.0.3538.77,,2018-11-11 18:28:57,2018-11-11 18:29:13,15.603s,PASSED
,,,,,,
Test Cases/Forcepoint_Profile_icon,Chrome 70.0.3538.77,,2018-11-11 18:29:07,2018-11-11 18:29:09,2.801s,PASSED
click,Chrome 70.0.3538.77,,2018-11-11 18:29:07,2018-11-11 18:29:09,2.415s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-11 18:29:09,2018-11-11 18:29:09,0.106s,PASSED
,,,,,,
Test Cases/Forcepoint_Help_icon,Chrome 70.0.3538.77,,2018-11-11 18:29:09,2018-11-11 18:29:11,1.691s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-11 18:29:10,2018-11-11 18:29:10,0.035s,PASSED
click,Chrome 70.0.3538.77,,2018-11-11 18:29:10,2018-11-11 18:29:10,0.126s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,,2018-11-11 18:29:10,2018-11-11 18:29:10,0.250s,PASSED
click,Chrome 70.0.3538.77,,2018-11-11 18:29:10,2018-11-11 18:29:10,0.201s,PASSED
switchToWindowIndex,Chrome 70.0.3538.77,,2018-11-11 18:29:10,2018-11-11 18:29:10,0.091s,PASSED
switchToWindowIndex,Chrome 70.0.3538.77,,2018-11-11 18:29:10,2018-11-11 18:29:10,0.059s,PASSED
click,Chrome 70.0.3538.77,,2018-11-11 18:29:10,2018-11-11 18:29:10,0.102s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,,2018-11-11 18:29:10,2018-11-11 18:29:11,0.182s,PASSED
click,Chrome 70.0.3538.77,,2018-11-11 18:29:11,2018-11-11 18:29:11,0.247s,PASSED
switchToWindowIndex,Chrome 70.0.3538.77,,2018-11-11 18:29:11,2018-11-11 18:29:11,0.037s,PASSED
switchToWindowIndex,Chrome 70.0.3538.77,,2018-11-11 18:29:11,2018-11-11 18:29:11,0.090s,PASSED
